forecast_origin_date,target_date,xR_e_t_plus_1,historical_mean,in_sample_forecast,out_of_sample_forecast,a_OS,b_OS,N_t
1939-12-01,1940-12-01,-0.07180729031200062,0.04600503393485152,0.09536017258372839,0.015389075034678512,-0.25794444200995026,6.045333346543617,133
1940-01-01,1941-01-01,-0.08571747967417775,0.046133035975715234,0.09905205308662768,0.02405180734838447,-0.2563737521888093,6.026677011869246,134
1940-02-01,1941-02-01,-0.11178135688724211,0.04609311895612195,0.10045022789113162,0.02759006561015448,-0.25513038080775735,6.011570678618295,135
1940-03-01,1941-03-01,-0.12223050395645574,0.04726445277770566,0.09850733859963379,0.024981049888662177,-0.25239328667005895,5.986096028065255,136
1940-04-01,1941-04-01,-0.1673813053205544,0.04844447561445525,0.09975274659057293,0.0291764025268626,-0.24970467565645427,5.96146629161165,137
1940-05-01,1941-05-01,0.07432900951233268,0.047353913721823994,0.14450162707916722,0.12379577810096554,-0.25125123122414356,5.977732098765586,138
1940-06-01,1941-06-01,0.06200472641297916,0.04705762613520557,0.13520701116580192,0.10392456476864809,-0.25136169804972497,5.978665303667707,139
1940-07-01,1941-07-01,0.08475994077020699,0.04630366875921814,0.13098734698549055,0.09464589242679872,-0.2521644831739905,5.987675525239349,140
1940-08-01,1941-08-01,0.0603401656326622,0.0461778135303921,0.13277049108875,0.09852451309139793,-0.25203186131895033,5.986616656211867,141
1940-09-01,1941-09-01,0.028693865462466217,0.045143043185768846,0.1305107897295908,0.0932597508187058,-0.25346618516522135,6.003835920635964,142
1940-10-01,1941-10-01,-0.044647425467865154,0.04433977559172813,0.12731205598413725,0.08612702646349729,-0.25434259879586557,6.014314629288035,143
1940-11-01,1941-11-01,-0.046487482879807196,0.04368506481034869,0.13217193453827383,0.09616204020505664,-0.25509575257650685,6.020544226301281,144
1940-12-01,1941-12-01,-0.09221127930390849,0.042888565809504946,0.1324768124373463,0.09627051831482292,-0.25608477658374307,6.028120442434792,145
1941-01-01,1942-01-01,-0.04985017552587723,0.04200770248427421,0.1400857627697675,0.1119508652632561,-0.25716216101841005,6.0346377955630155,146
1941-02-01,1942-02-01,-0.057218947544609655,0.04096151840691695,0.14464603572471094,0.12091432978108713,-0.25844096580841086,6.04144075045093,147
1941-03-01,1942-03-01,-0.1148392473556834,0.03985886960716443,0.14640600707557858,0.12385952950874074,-0.25985479251838167,6.0503774025311285,148
1941-04-01,1942-04-01,-0.10353678488884277,0.038467995949931416,0.15591169845227434,0.1432683069577615,-0.26163558969718564,6.060511616945496,149
1941-05-01,1942-05-01,-0.07228342554045497,0.03870706937368079,0.15612624187986796,0.14324228836772807,-0.2613721795166012,6.049251210965192,150
1941-06-01,1942-06-01,-0.10064093580916311,0.03886135849314634,0.15004229789109763,0.12977456870366044,-0.26127319002726573,6.0424446572407,151
1941-07-01,1942-07-01,-0.12004980297119905,0.03916332285023223,0.14132293253454045,0.11095015299016314,-0.2612681077276835,6.0418199065669995,152
1941-08-01,1942-08-01,-0.10722147154287898,0.03930173358737231,0.14370528988367812,0.11580452000250357,-0.26120754389070006,6.036378401246241,153
1941-09-01,1942-09-01,-0.08222759047928163,0.03923285132682097,0.14682105388570718,0.12200848866184733,-0.2611429583432379,6.027433251569566,154
1941-10-01,1942-10-01,0.02002772908886108,0.03869168825072623,0.15845659942518842,0.1459291707445095,-0.26114224268904573,6.011287218412537,155
1941-11-01,1942-11-01,0.04026863822649118,0.038145667922966385,0.16789048572887683,0.16481815958680968,-0.2609169865617706,5.989308567213698,156
1941-12-01,1942-12-01,0.1394326199374799,0.03731536889604359,0.18401560218955654,0.1973177547367561,-0.260600262308773,5.9598605790408685,157
1942-01-01,1943-01-01,0.20468976502746694,0.03676368823514539,0.18228200286635088,0.19180440650996677,-0.25993739909542174,5.927174098079967,158
1942-02-01,1943-02-01,0.3049318778507145,0.036172602475524285,0.18713495863420854,0.19986012907725142,-0.2589522807733459,5.886268564255378,159
1942-03-01,1943-03-01,0.46947098444569013,0.03522877841407926,0.20457343759690308,0.23308552260152238,-0.2574963913832676,5.828755641813837,160
1942-04-01,1943-04-01,0.5435478295225952,0.034366880505365446,0.21639764930813635,0.2534098244241006,-0.2552641388689891,5.755336444431063,161
1942-05-01,1943-05-01,0.5444689049135156,0.03370854528286038,0.19870963042559142,0.21387523080308762,-0.2533563823962002,5.692779329432418,162
1942-06-01,1943-06-01,0.5345676769691614,0.03288431533751055,0.1927984719282128,0.198858654265826,-0.2517788589242776,5.6353523658846525,163
1942-07-01,1943-07-01,0.42626803466093255,0.031951790225872065,0.18505725612986457,0.18080315066425162,-0.25084548989853295,5.590927469841568,164
1942-08-01,1943-08-01,0.4264670261876461,0.031108315912122073,0.17705123072397824,0.1625203988246676,-0.24979884138821204,5.545668797303674,165
1942-09-01,1943-09-01,0.42221417525957516,0.03042556948807745,0.17223329011558008,0.15090987124179858,-0.24867326256456543,5.501519106092838,166
1942-10-01,1943-10-01,0.3250053891811767,0.030363306970716875,0.15756034789830525,0.12096002562494887,-0.24764639703477967,5.46908498458546,167
1942-11-01,1943-11-01,0.25489366640949396,0.03042226727581077,0.1513949512863193,0.10780272189591189,-0.2463478812769242,5.431820372792385,168
1942-12-01,1943-12-01,0.26946539962739835,0.031067298948365015,0.14042458905042754,0.08621306441748755,-0.24578191698164747,5.417091422812398,169
1943-01-01,1944-01-01,0.2061554146568596,0.032088607572359755,0.12880136800650369,0.06407670760508757,-0.246423486421781,5.433924762836482,170
1943-02-01,1944-02-01,0.14238468226058476,0.03368418225235013,0.11935829888287572,0.04666478191374021,-0.24876347194867035,5.493978018458753,171
1943-03-01,1944-03-01,0.10617830256174687,0.03621782645114861,0.11102228242316389,0.03170199951028235,-0.25474744683257006,5.638769342677425,172
