window_start_date,window_end_date,window_observations,rolling_R_OS_squared
1950-03-01,2000-02-01,600,-0.004539879830148363
1950-04-01,2000-03-01,600,-0.00840259476061811
1950-05-01,2000-04-01,600,-0.011559301458401228
1950-06-01,2000-05-01,600,-0.016323424092854477
1950-07-01,2000-06-01,600,-0.019772582317586274
1950-08-01,2000-07-01,600,-0.02211349133996432
1950-09-01,2000-08-01,600,-0.025952031856514735
1950-10-01,2000-09-01,600,-0.029338530441858968
1950-11-01,2000-10-01,600,-0.03072162248975263
1950-12-01,2000-11-01,600,-0.030555082768910946
1951-01-01,2000-12-01,600,-0.029199010766514544
1951-02-01,2001-01-01,600,-0.029187037836625906
1951-03-01,2001-02-01,600,-0.027573675749440252
1951-04-01,2001-03-01,600,-0.02413640683655638
1951-05-01,2001-04-01,600,-0.022158676352634243
1951-06-01,2001-05-01,600,-0.020362076547200125
1951-07-01,2001-06-01,600,-0.018231778765226192
1951-08-01,2001-07-01,600,-0.016667635862684937
1951-09-01,2001-08-01,600,-0.01369814352310783
1951-10-01,2001-09-01,600,-0.010098054060412087
1951-11-01,2001-10-01,600,-0.007105387488872461
1951-12-01,2001-11-01,600,-0.006083220207164564
1952-01-01,2001-12-01,600,-0.004783053213927246
1952-02-01,2002-01-01,600,-0.002643615564985824
1952-03-01,2002-02-01,600,-0.0010615651840764073
1952-04-01,2002-03-01,600,-0.0010465756069002463
1952-05-01,2002-04-01,600,9.220336402884222e-4
1952-06-01,2002-05-01,600,0.0027659720439048296
1952-07-01,2002-06-01,600,0.004331245926682548
1952-08-01,2002-07-01,600,0.006977084799627109
1952-09-01,2002-08-01,600,0.009174635467666392
1952-10-01,2002-09-01,600,0.011543127226843253
1952-11-01,2002-10-01,600,0.013765919770739488
1952-12-01,2002-11-01,600,0.01598265678159716
1953-01-01,2002-12-01,600,0.01902425592173096
1953-02-01,2003-01-01,600,0.022170178268283602
1953-03-01,2003-02-01,600,0.02513450187158106
1953-04-01,2003-03-01,600,0.028550424506471495
1953-05-01,2003-04-01,600,0.030703801384814988
1953-06-01,2003-05-01,600,0.032154247881155174
1953-07-01,2003-06-01,600,0.032588507737192574
1953-08-01,2003-07-01,600,0.03170934157271055
1953-09-01,2003-08-01,600,0.030561594449019958
1953-10-01,2003-09-01,600,0.028354681448852004
1953-11-01,2003-10-01,600,0.02608997957495729
1953-12-01,2003-11-01,600,0.024248161873406282
1954-01-01,2003-12-01,600,0.020858846757001448
1954-02-01,2004-01-01,600,0.01693972701092339
1954-03-01,2004-02-01,600,0.01259315635135927
1954-04-01,2004-03-01,600,0.00859471087974295
1954-05-01,2004-04-01,600,0.005787765406348955
1954-06-01,2004-05-01,600,0.0035059939943130614
