KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,TMNOMPRC,TMNOMPRC_FLG,TMYTM
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),,,,
2000002,RISKFREE,90,CRSP Risk Free Rates - 3-Month (Nominal),,,,
2000003,FIXEDTERM,112,CRSP Fixed Term Index - 1-Year (Nominal),,,,
2000004,FIXEDTERM,212,CRSP Fixed Term Index - 2-Year (Nominal),,,,
2000005,FIXEDTERM,512,CRSP Fixed Term Index - 5-Year (Nominal),,,,
2000006,FIXEDTERM,712,CRSP Fixed Term Index - 7-Year (Nominal),,,,
2000007,FIXEDTERM,1012,CRSP Fixed Term Index - 10-Year (Nominal),,,,
2000008,FIXEDTERM,2012,CRSP Fixed Term Index - 20-Year (Nominal),,,,
2000009,FIXEDTERM,3012,CRSP Fixed Term Index - 30-Year (Nominal),,,,
2000010,TERMSTRUCT,1201,Fama T-Bill 12-Month Term Structure - 1 Month,,,,
2000011,TERMSTRUCT,1202,Fama T-Bill 12-Month Term Structure - 2 Month,,,,
2000012,TERMSTRUCT,1203,Fama T-Bill 12-Month Term Structure - 3 Month,,,,
2000013,TERMSTRUCT,1204,Fama T-Bill 12-Month Term Structure - 4 Month,,,,
2000014,TERMSTRUCT,1205,Fama T-Bill 12-Month Term Structure - 5 Month,,,,
2000015,TERMSTRUCT,1206,Fama T-Bill 12-Month Term Structure - 6 Month,,,,
2000016,TERMSTRUCT,1207,Fama T-Bill 12-Month Term Structure - 7 Month,,,,
2000017,TERMSTRUCT,1208,Fama T-Bill 12-Month Term Structure - 8 Month,,,,
2000018,TERMSTRUCT,1209,Fama T-Bill 12-Month Term Structure - 9 Month,,,,
2000019,TERMSTRUCT,1210,Fama T-Bill 12-Month Term Structure - 10 Month,,,,
2000020,TERMSTRUCT,1211,Fama T-Bill 12-Month Term Structure - 11 Month,,,,
2000021,TERMSTRUCT,1212,Fama T-Bill 12-Month Term Structure - 12 Month,,,,
2000022,TERMSTRUCT,601,Fama T-Bill 6-Month Term Structure - 1 Month,,,,
2000023,TERMSTRUCT,602,Fama T-Bill 6-Month Term Structure - 2 Month,,,,
2000024,TERMSTRUCT,603,Fama T-Bill 6-Month Term Structure - 3 Month,,,,
2000025,TERMSTRUCT,604,Fama T-Bill 6-Month Term Structure - 4 Month,,,,
2000026,TERMSTRUCT,605,Fama T-Bill 6-Month Term Structure - 5 Month,,,,
2000027,TERMSTRUCT,606,Fama T-Bill 6-Month Term Structure - 6 Month,,,,
2000028,BONDMATPORT,6006,Fama Maturity Portfolios - <= 6 Month,,,,
2000029,BONDMATPORT,6012,Fama Maturity Portfolios - > 6 and <= 12 Month,,,,
2000030,BONDMATPORT,6018,Fama Maturity Portfolios - > 12 and <= 18 Month,,,,
2000031,BONDMATPORT,6024,Fama Maturity Portfolios - > 18 and <= 24 Month,,,,
2000032,BONDMATPORT,6030,Fama Maturity Portfolios - > 24 and <= 30 Month,,,,
2000033,BONDMATPORT,6036,Fama Maturity Portfolios - > 30 and <= 36 Month,,,,
2000034,BONDMATPORT,6042,Fama Maturity Portfolios - > 36 and <= 42 Month,,,,
2000035,BONDMATPORT,6048,Fama Maturity Portfolios - > 42 and <= 48 Month,,,,
2000036,BONDMATPORT,6054,Fama Maturity Portfolios - > 48 and <= 54 Month,,,,
2000037,BONDMATPORT,6060,Fama Maturity Portfolios - > 54 and <= 60 Month,,,,
2000038,BONDMATPORT,6120,Fama Maturity Portfolios - > 60 and <= 120 Month,,,,
2000039,BONDMATPORT,6121,Fama Maturity Portfolios - > 120 Month,,,,
2000040,BONDMATPORT,12012,Fama Maturity Portfolios - <= 12 Month,,,,
2000041,BONDMATPORT,12024,Fama Maturity Portfolios - > 12 and <= 24 Month,,,,
2000042,BONDMATPORT,12036,Fama Maturity Portfolios - > 24 and <= 36 Month,,,,
2000043,BONDMATPORT,12048,Fama Maturity Portfolios - > 36 and <= 48 Month,,,,
2000044,BONDMATPORT,12060,Fama Maturity Portfolios - > 48 and <= 60 Month,,,,
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-06-30,9.8177762510023E+01,D,1.8390447289671E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-07-31,9.8094756028967E+01,D,1.9236276207772E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-08-29,9.8057807664917E+01,D,1.9506124185597E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-09-30,9.8031187574306E+01,D,1.9884517391163E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-10-31,9.8110769097783E+01,D,1.9125448040957E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-11-28,9.7955385990681E+01,D,2.0545477967465E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1952-12-31,9.8021745479666E+01,D,1.9980839282397E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-01-30,9.8051151529138E+01,D,1.9734958362626E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-02-27,9.7950397467661E+01,D,2.0765877477831E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-03-31,9.7947158452273E+01,D,2.0742052204431E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-04-30,9.7663527674084E+01,D,2.3642006011423E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-05-29,9.7445032183535E+01,D,2.5952844272856E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-06-30,9.7608316640032E+01,D,2.4207484723596E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-07-31,9.7740266766938E+01,D,2.2919358575516E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-08-31,9.7656614795645E+01,D,2.3712791116890E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-09-30,9.7996238548341E+01,D,2.0241090213926E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-10-30,9.8354310680009E+01,D,1.6639400253535E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-11-30,9.8435561967448E+01,D,1.5768045111688E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1953-12-31,9.8437834011484E+01,D,1.5744963841361E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-01-29,9.8846368177550E+01,D,1.1540144102315E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-02-26,9.8899739261523E+01,D,1.1003291718618E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-03-31,9.8947087937627E+01,D,1.0584944007474E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-04-30,9.9168244166706E+01,D,8.3752886007756E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-05-28,9.9148707215339E+01,D,8.4796737225453E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-06-30,9.9271010513184E+01,D,7.3165959965104E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-07-30,9.9370913323126E+01,D,6.3280751240737E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-08-31,9.9179365266203E+01,D,8.2402047640524E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-09-30,9.9065333157169E+01,D,9.3906226316370E-01
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-10-29,9.8953920102110E+01,D,1.0458590361322E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-11-30,9.8963321255808E+01,D,1.0420896868331E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1954-12-31,9.8870622137243E+01,D,1.1389241527366E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-01-31,9.8715325352221E+01,D,1.2929979543141E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-02-28,9.8354631983592E+01,D,1.6545216351543E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-03-31,9.8457838821771E+01,D,1.5584459548066E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-04-29,9.8374324913745E+01,D,1.6301020958009E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-05-31,9.8199766164213E+01,D,1.8116717429321E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-06-30,9.8177691325892E+01,D,1.8391172343443E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-07-29,9.7999166571338E+01,D,2.0046446152902E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-08-31,9.7876410103407E+01,D,2.1405978575206E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-09-30,9.8026770548427E+01,D,1.9984328229254E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-10-31,9.7945968957461E+01,D,2.0697491553461E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-11-30,9.7453551893939E+01,D,2.5723836659168E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1955-12-30,9.7367626232607E+01,D,2.6531034552236E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-01-31,9.7651021130816E+01,D,2.3705126669949E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-02-29,9.7520028248958E+01,D,2.5112411141642E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-03-29,9.7512512420097E+01,D,2.5189483704394E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-04-30,9.7101465075387E+01,D,2.9413722489632E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-05-31,9.7209562914236E+01,D,2.8301095469761E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-06-29,9.7496266165327E+01,D,2.5495806829881E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-07-31,9.7320379334741E+01,D,2.7161770271685E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-08-31,9.6932061958067E+01,D,3.1245450416570E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-09-28,9.6852159703076E+01,D,3.1810194427174E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-10-31,9.6967100699916E+01,D,3.0798433057308E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-11-30,9.6639650698918E+01,D,3.4274971815301E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1956-12-31,9.6614383026072E+01,D,3.4442563243579E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-01-31,9.7070618860353E+01,D,2.9731442881446E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-02-28,9.6816760838577E+01,D,3.2350057535293E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-03-29,9.6659756491571E+01,D,3.3787899564062E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-04-30,9.6583179264108E+01,D,3.4765587632356E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-05-31,9.6585919807700E+01,D,3.4928601745874E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-06-27,9.6454156804040E+01,D,3.5808036444976E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-07-31,9.6188245664581E+01,D,3.8863022220666E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-08-30,9.6194286411064E+01,D,3.8906818643733E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-09-30,9.6043162574872E+01,D,4.0372485409696E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-10-31,9.6254362577283E+01,D,3.8175888369108E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-11-29,9.6623665267818E+01,D,3.4440852730543E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1957-12-31,9.7349993800579E+01,D,2.6857517851664E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-01-31,9.7969604250252E+01,D,2.0569271217879E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-02-28,9.8285634199689E+01,D,1.7339819060812E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-03-31,9.8514839146750E+01,D,1.4962997920770E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-04-30,9.8732786728449E+01,D,1.2753109011539E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-05-29,9.8886787954653E+01,D,1.1194546226198E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-06-30,9.8906062345203E+01,D,1.0999651511029E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-07-31,9.8399910072860E+01,D,1.6130295824007E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-08-29,9.7249604949750E+01,D,2.7737280562092E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-09-30,9.7063832173054E+01,D,2.9801360273912E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-10-31,9.7020301785906E+01,D,3.0333038180131E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-11-28,9.6812066861389E+01,D,3.2221982946835E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1958-12-31,9.7089528904663E+01,D,2.9536654768777E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-01-30,9.6946905824835E+01,D,3.1091904650545E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-02-27,9.6596842200821E+01,D,3.4435447291813E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-03-31,9.6508106090074E+01,D,3.5446068545255E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-04-30,9.6281242715432E+01,D,3.7896665850416E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-05-29,9.6199380578166E+01,D,3.8431392270355E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-06-30,9.5988395232678E+01,D,4.0831019961431E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-07-31,9.5776683504493E+01,D,4.3269466252538E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-08-31,9.5603449709535E+01,D,4.4838437761638E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-09-30,9.5310346163778E+01,D,4.7900583705521E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-10-30,9.5885396057756E+01,D,4.1787525901324E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-11-30,9.5287124615513E+01,D,4.8143589050434E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1959-12-31,9.5255763047043E+01,D,4.8604669380707E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-01-29,9.5436575221847E+01,D,4.6327518206166E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-02-29,9.5544471526630E+01,D,4.5578376456324E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-03-31,9.6451743957079E+01,D,3.6226617949884E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-04-29,9.5948993705428E+01,D,4.1467061511377E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-05-31,9.6048534895491E+01,D,4.0316550450600E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-06-30,9.6880790381278E+01,D,3.1688928423126E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-07-29,9.7188374095636E+01,D,2.8363672311146E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-08-31,9.7143590235585E+01,D,2.8979990358945E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-09-30,9.7200767087799E+01,D,2.8469582821190E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-10-31,9.7212355190838E+01,D,2.8272371582765E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-11-30,9.7033784386611E+01,D,3.0110975479039E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1960-12-30,9.7406542110511E+01,D,2.6349000345392E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-01-31,9.7255265100849E+01,D,2.7831065100554E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-02-28,9.7069368995861E+01,D,2.9744318791313E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-03-30,9.7145141038391E+01,D,2.8964026460305E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-04-28,9.7153576889620E+01,D,2.8719823678345E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-05-31,9.7113319664961E+01,D,2.9291645382016E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-06-30,9.7054583747047E+01,D,2.9978781686372E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-07-31,9.7151309053000E+01,D,2.8900535700611E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-08-31,9.6998401582776E+01,D,3.0475686148570E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-09-29,9.7074352545927E+01,D,2.9774555463381E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-10-31,9.7105410050765E+01,D,2.9373095963148E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-11-30,9.7073836346319E+01,D,2.9698297603485E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1961-12-29,9.6921848482376E+01,D,3.1094835257503E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-01-31,9.6761279722369E+01,D,3.2923274596137E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-02-28,9.6913873576939E+01,D,3.1347503171195E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-03-30,9.7162356937141E+01,D,2.8865909804051E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-04-30,9.7038582214829E+01,D,3.0061531776127E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-05-31,9.7099801742107E+01,D,2.9430852483761E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-06-29,9.6983630099784E+01,D,3.0712127760699E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-07-31,9.6745978537033E+01,D,3.3081420450779E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-08-31,9.7019518792894E+01,D,3.0341130788382E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-09-28,9.7064907836229E+01,D,2.9627933422725E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-10-31,9.7120257828431E+01,D,2.9220203939586E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-11-30,9.7128364365133E+01,D,2.9216785644424E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1962-12-31,9.7065941487390E+01,D,2.9779629301925E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-01-31,9.7015959179679E+01,D,3.0294693392334E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-02-28,9.7082407563330E+01,D,2.9610005650114E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-03-29,9.6994065836297E+01,D,3.0271578408997E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-04-30,9.6940625228820E+01,D,3.0986611837805E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-05-31,9.6915874275031E+01,D,3.1499458233018E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-06-28,9.6897747321957E+01,D,3.1257007490444E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-07-31,9.6563509607622E+01,D,3.4873719840196E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-08-30,9.6360585646985E+01,D,3.6870898176458E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-09-30,9.6360332667261E+01,D,3.6974257433980E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-10-31,9.6399942680626E+01,D,3.6664578971086E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-11-29,9.6258638799824E+01,D,3.7923662126560E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1963-12-31,9.6233250637591E+01,D,3.8290343153622E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-01-31,9.6291584926059E+01,D,3.7893073265197E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-02-28,9.6139865800741E+01,D,3.9474269829566E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-03-31,9.6165017764643E+01,D,3.9104535149922E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-04-30,9.6287739883164E+01,D,3.7829186990149E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-05-28,9.6240232467726E+01,D,3.8322698824528E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-06-30,9.6290993889666E+01,D,3.7795392952362E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-07-31,9.6320882405068E+01,D,3.7588025845087E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-08-31,9.6258750744848E+01,D,3.8130300123298E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-09-30,9.6177639562196E+01,D,3.8973292317507E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-10-30,9.6179464372755E+01,D,3.9061338258012E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-11-30,9.5873475204713E+01,D,4.2140830419709E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1964-12-31,9.6030624765732E+01,D,4.0503037416103E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-01-29,9.5983386704845E+01,D,4.0771658233767E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-02-26,9.5861054123210E+01,D,4.2040039374361E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-03-31,9.5944443176944E+01,D,4.1400878948354E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-04-30,9.5996136835019E+01,D,4.0974497343683E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-05-28,9.5972443052560E+01,D,4.0773958301816E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-06-30,9.6101597728516E+01,D,3.9764244463099E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-07-30,9.6072397421967E+01,D,4.0178218018018E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-08-31,9.5914028943438E+01,D,4.1717927587646E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-09-30,9.5746738853747E+01,D,4.3463617476054E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-10-29,9.5718334650242E+01,D,4.3521845293917E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-11-30,9.5660552769423E+01,D,4.4364169272369E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1965-12-31,9.5244482535605E+01,D,4.8856956634329E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1966-01-31,9.5199238310051E+01,D,4.9198245167624E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1966-02-28,9.5142171706264E+01,D,4.9797868817482E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1966-03-31,9.5189098954625E+01,D,4.9304757526322E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1966-04-29,9.5145278063826E+01,D,4.9901939564553E+00
2000047,DISCBOND,5001,Fama Bliss Discount Bonds - 1-Year (Nominal),1966-05-31,9.5037013792559E+01,D,5.0903751400230E+00
